fixture	category	reason	repro_command
a1_mono.j2c	ok_real_decode	component0:raster:le:real_decode:DS-DWT-SUBBAND-DECODE:dwt_5_seq	moon run cmd/main -- decode-file /Users/terukichi/Workspaces/moonbit/jpeg2000/samples/corpus/a1_mono.j2c
a2_colr.j2c	ok_real_decode	component0:raster:le:real_decode:DS-DWT-SUBBAND-DECODE:dwt_5_seq	moon run cmd/main -- decode-file /Users/terukichi/Workspaces/moonbit/jpeg2000/samples/corpus/a2_colr.j2c
b1_mono.j2c	ok_real_decode	component0:raster:le:real_decode:DS-DWT-SUBBAND-DECODE:dwt_5_seq_tiles15_ok15_fail0_fcb0_fac0_fc00_fc10_fc20_fot0	moon run cmd/main -- decode-file /Users/terukichi/Workspaces/moonbit/jpeg2000/samples/corpus/b1_mono.j2c
g1_colr.j2c	ok_real_decode	component0:raster:le:real_decode:DS-DWT-SUBBAND-DECODE:dwt_5_seq_tiles2_ok2_fail0_fcb0_fac0_fc00_fc10_fc20_fot0	moon run cmd/main -- decode-file /Users/terukichi/Workspaces/moonbit/jpeg2000/samples/corpus/g1_colr.j2c
p0_01.j2k	ok_real_decode	component0:raster:le:real_decode:DS-DWT-SUBBAND-DECODE:dwt_3_seq	moon run cmd/main -- decode-file /Users/terukichi/Workspaces/moonbit/jpeg2000/samples/corpus/p0_01.j2k
p0_02.j2k	ok_real_decode	component0:raster:le:real_decode:DS-DWT-SUBBAND-DECODE:dwt_3_sop	moon run cmd/main -- decode-file /Users/terukichi/Workspaces/moonbit/jpeg2000/samples/corpus/p0_02.j2k
p0_03.j2k	ok_real_decode	component0:raster:le:real_decode:DS-DWT-SUBBAND-DECODE:dwt_1_sop_tiles4_ok4_fail0_fcb0_fac0_fc00_fc10_fc20_fot0	moon run cmd/main -- decode-file /Users/terukichi/Workspaces/moonbit/jpeg2000/samples/corpus/p0_03.j2k
p0_04.j2k	ok_real_decode	component0:raster:le:real_decode:DS-DWT-SUBBAND-DECODE:dwt_6_seq	moon run cmd/main -- decode-file /Users/terukichi/Workspaces/moonbit/jpeg2000/samples/corpus/p0_04.j2k
p0_05.j2k	ok_real_decode	component0:raster:le:real_decode:DS-DWT-SUBBAND-DECODE:dwt_6_seq	moon run cmd/main -- decode-file /Users/terukichi/Workspaces/moonbit/jpeg2000/samples/corpus/p0_05.j2k
p0_06.j2k	ok_real_decode	component0:raster:le:real_decode:DS-DWT-SUBBAND-DECODE:dwt_6_seq	moon run cmd/main -- decode-file /Users/terukichi/Workspaces/moonbit/jpeg2000/samples/corpus/p0_06.j2k
